Posicao,Fluxo_Concatenado_rotor,Fluxo_Concatenado_estatorA,Fluxo_Concatenado_estatorB,Fluxo_Concatenado_estatorC
0,0.2311134607247803,-0.3426905039598312,0.1418522779145565,0.141810747953942
5,0.2287689092001205,-0.3352348814202277,0.120385186413871,0.1638374027098163
10,0.2287516407090401,-0.3277528358925552,0.09218387281612545,0.1925470496014279
15,0.2311200047111759,-0.3243999752836185,0.07061305645350233,0.2138478201288405
20,0.2287644448848246,-0.3092587745631134,0.04930982100964945,0.2327269776765134
25,0.2287523702822541,-0.290561087601516,0.02138047710501431,0.2584599787933328
30,0.2311211072059524,-0.2780616025564096,3.317015856648189e-005,0.2780512106674689
35,0.2287577958460318,-0.2584816941591909,-0.02131703729483308,0.290573947811212
40,0.2287573139973366,-0.2327439469366261,-0.04922563445259304,0.3092352402323238
45,0.2311156755973581,-0.2138654110769762,-0.07055847822225433,0.3243944172402563
50,0.2287592870752614,-0.1925756023434339,-0.09214234389555928,0.3277733602933792
55,0.2287589736259133,-0.1638683272777732,-0.1203138059541895,0.3352198307970543
60,0.2311224330993326,-0.1418535355303253,-0.1418136653204752,0.3427034250928437
65,0.2287634821748196,-0.1203880666717445,-0.1638379460152202,0.3352309267103895
70,0.2287614048350851,-0.09219604692027192,-0.1925378459504547,0.3277684056708482
75,0.2311178081779082,-0.07061062054085644,-0.213849802097377,0.3243972309561896
80,0.2287687319601282,-0.04931304193573328,-0.2327277815867421,0.3092614233377843
85,0.228760262910929,-0.02138665373297481,-0.2584566108503664,0.2905677250903582
90,0.23111661846001,-3.545478018181746e-005,-0.2780472420603748,0.2780604537110062
95,0.2287701894667908,0.02130968404871293,-0.2905796480383646,0.2584912858333391
100,0.2287535760640578,0.04923838307061374,-0.3092396218608104,0.2327315800275583
105,0.2311202294884133,0.07055305900441526,-0.3243987953933415,0.2138722971722194
110,0.2287649901654054,0.09213171380566335,-0.327777421987889,0.1925903771707102
115,0.2287523899038463,0.1203221641203281,-0.3352158398659859,0.1638609428320427
120,0.2311187966774931,0.1418097793248081,-0.3426979308326108,0.1418544383082405
125,0.2287593746820983,0.1638383746374424,-0.3352256246620768,0.1203856879998649
130,0.2287585426254649,0.1925306246360784,-0.3277644221151104,0.09219986629357126
135,0.2311185938851668,0.2138479756689492,-0.3243992828235363,0.07061193073376344
140,0.2287571043875583,0.2327255427216917,-0.3092510018765958,0.04930603689898178
145,0.2287567204722711,0.2584535204746495,-0.2905673890891206,0.02138885098386056
150,0.2311217684907069,0.2780505952924403,-0.2780631913681942,3.40066225621681e-005
155,0.2287599323172753,0.2905768410635495,-0.2584853193556878,-0.02131471544604741
160,0.2287640277653036,0.3092436935382005,-0.2327396687913219,-0.04923213545379399
165,0.2311202419325406,0.3243999944150713,-0.2138699063100426,-0.07055778684579149
170,0.2287636619741404,0.327774473680631,-0.1925823575228766,-0.09213603881996525
175,0.2287659411859663,0.3352304415397996,-0.1638599227224251,-0.1203235389631709
180,0.2311140973815194,0.3426915311109056,-0.141851357214252,-0.1418120271912096
185,0.2287666955976985,0.3352324165829956,-0.1203838169764494,-0.163837502237805
190,0.2287521129936837,0.3277534289723324,-0.0921839737478085,-0.1925474315761576
195,0.2311192267457186,0.324398305411819,-0.07061230869810418,-0.2138485527187158
200,0.228761985727552,0.3092561492279162,-0.04930947732585107,-0.2327262604064711
205,0.2287485425248766,0.2905614366586697,-0.02138591275054072,-0.2584545258911641
210,0.2311202991112714,0.2780603595190978,-3.221892482452825e-005,-0.2780513800591942
215,0.2287628309418548,0.2584886034882609,0.02131036142897358,-0.2905761086243017
220,0.2287571443205032,0.2327458713491759,0.04922368593576719,-0.3092347510861694
225,0.2311154383910095,0.2138661520623127,0.07055747733683654,-0.3243937353330049
230,0.2287603505046904,0.1925769605107962,0.09214116387202882,-0.3277750761217992
235,0.22875639058668,0.1638727135520427,0.1203097833111482,-0.3352162042453963
240,0.2311234401302523,0.1418518235885324,0.1418151470163038,-0.3427049640575296
245,0.2287590221722619,0.1203803471974824,0.1638448648443456,-0.3352246353021571
250,0.2287619479307957,0.09219617920781495,0.1925378085356347,-0.3277685647002491
255,0.2311180953549231,0.07061079885769861,0.2138494949147125,-0.3243980114021414
260,0.2287686149643686,0.04930743487381244,0.2327301009780821,-0.3092576839410413
265,0.2287617059653333,0.02138286044675244,0.2584607772885025,-0.2905662716434817
270,0.2311155490593817,3.27596372273406e-005,0.2780471399886181,-0.2780568847016537
275,0.2287645652899232,-0.02130363340093284,0.290571821820259,-0.2584952760657549
280,0.2287535751283429,-0.04923847064733852,0.3092397371620468,-0.2327315095536972
285,0.2311213400898962,-0.07055339243074882,0.3244001302459269,-0.2138723692187969
290,0.2287667428323629,-0.09213237054736295,0.3277790481726335,-0.1925895098087392
295,0.2287534243400267,-0.120326353905474,0.3352194549915881,-0.1638565966002739
300,0.2311191486325266,-0.1418090812480286,0.342698429465054,-0.141855283159169
305,0.2287585540776759,-0.1638464170675323,0.3352227716108776,-0.1203779000839209
310,0.2287547475312465,-0.1925290048350165,0.3277608644975012,-0.0922019546331351
315,0.2311153375568905,-0.2138463928181268,0.3243955573119661,-0.0706132904137813
320,0.228759817275345,-0.2327248331916857,0.3092561667672529,-0.04931199140051763
325,0.2287626010461401,-0.2584612800478255,0.290566831761508,-0.02138128002615562
330,0.2311218718831248,-0.2780518002863669,0.2780620013440132,-3.249944452250395e-005
335,0.2287559031273662,-0.2905749624050613,0.2584789226939676,0.0213215404924287
340,0.228764145938103,-0.3092440838893662,0.2327393443232261,0.04923258264298086
345,0.2311198133251413,-0.3244001034228751,0.2138684498821419,0.07056000306287751
350,0.2287664859596637,-0.3277783910281141,0.192588523005802,0.09213027979087531
355,0.2287609115839995,-0.3352258263077525,0.1638589072722992,0.1203253204486779
