Posicao,Fluxo_Concatenado_rotor,Fluxo_Concatenado_estatorA,Fluxo_Concatenado_estatorB,Fluxo_Concatenado_estatorC
0,-0.3277528359031106,0.5162402508056125,-0.2122717682765506,-0.213280479078959
5,-0.3243999752730611,0.5216135757548588,-0.2156281567008496,-0.2090624484147107
10,-0.3092587745722679,0.5154770399750481,-0.2085782227082984,-0.2151946439039419
15,-0.2905610876099196,0.5171373648658438,-0.2100858825585375,-0.2144180492188143
20,-0.2780616025574756,0.5243912278587932,-0.2174391662745069,-0.2078915479581915
25,-0.2584816941877954,0.5150713936617617,-0.2074097548819247,-0.2144148508330373
30,-0.232743946936567,0.5163264368476255,-0.2081347569487919,-0.2152392494982387
35,-0.2138654110753774,0.5260658990714126,-0.2180668690684841,-0.2090921953423567
40,-0.1925756023475054,0.5139085045236147,-0.206391535318311,-0.2133186377165394
45,-0.163868327277082,0.5139140977205572,-0.2063348615548729,-0.2157431909688548
50,-0.1418535355279023,0.5254894047028402,-0.2176036456892262,-0.212637618757666
55,-0.1203880666693166,0.5144913359595353,-0.206359721332247,-0.2099489977168118
60,-0.09219604691924661,0.5144251720488545,-0.2063165449845346,-0.2122869573498931
65,-0.07061062054083209,0.5255054817019881,-0.2180278198909767,-0.2156270267816736
70,-0.04931304193661398,0.5147106605732501,-0.2081127584947801,-0.2085908900805809
75,-0.02138665373469087,0.5146297183864774,-0.2072928576497248,-0.2100966137431198
80,-3.54547840289432e-005,0.5254747365417075,-0.2173478028030249,-0.21743419993166
85,0.02130968404880857,0.5146898155997692,-0.2100172973738942,-0.2074175286794042
90,0.04923838306773245,0.514614300386078,-0.2084316405135906,-0.2081269529005969
95,0.07055305900516148,0.5254769163842636,-0.215543557000463,-0.2180760899260038
100,0.09213171380550984,0.5144556372677955,-0.2122104084482976,-0.2064018559160054
105,0.1203221641199309,0.5143785877500651,-0.2098216089332838,-0.2063300347164691
110,0.141809779318746,0.5254513986165824,-0.2125746882366242,-0.2175980672808319
115,0.1638383746366879,0.5139432578297949,-0.2156803056615031,-0.2063503551341358
120,0.1925306246353636,0.5138304884673658,-0.2132556405828239,-0.2063193408376404
125,0.2138479756690095,0.5260580993026665,-0.209065736600096,-0.2180199257509959
130,0.2327255427234535,0.5163486830155301,-0.2151940517064162,-0.2080908916278918
135,0.2584535204752856,0.5149790810501714,-0.2144154551470741,-0.2072868814150709
140,0.2780505952919435,0.5243862419415616,-0.2078903329475401,-0.2173574550221016
145,0.2905768410710696,0.5172014122801776,-0.2144191994562766,-0.2100259126502145
150,0.3092436935339038,0.515432287962117,-0.2152234420101131,-0.208452168398038
155,0.3243999944120268,0.521619720609023,-0.2090939860809332,-0.2155491562114989
160,0.3277744736800536,0.5162953615297804,-0.2133195311997255,-0.2122147661079197
165,0.3352304415597848,0.5149785883634498,-0.2157255212187527,-0.2098350385782563
170,0.3426915311106037,0.5190333636085029,-0.2126342117569189,-0.2125774429012942
175,0.3352324165841564,0.5149909846472616,-0.209936794182105,-0.2156791084845423
180,0.3277534289758713,0.5162410876862903,-0.212272030725831,-0.2132807270526847
185,0.3243983054189032,0.5216083541013679,-0.2156241319411737,-0.209066774560684
190,0.3092561492300215,0.5154706663787806,-0.2085721696278126,-0.2151976578561305
195,0.2905614366605976,0.5171371638440039,-0.2100856104800037,-0.2144180354511593
200,0.2780603595262909,0.5243858418310972,-0.2174346408843213,-0.2078949186473758
205,0.2584886034928478,0.5150843892254666,-0.2074226708461055,-0.2144166762671329
210,0.2327458713474135,0.5163247953572761,-0.208133427574689,-0.2152426063808245
215,0.2138661520594184,0.5260705520800406,-0.2180717815952801,-0.2090914369794993
220,0.1925769605098146,0.5139192831262728,-0.2064019628895484,-0.2133193840322273
225,0.1638727135510523,0.5139094595847089,-0.2063307289276764,-0.2157504406047109
230,0.1418518235893267,0.5254907197744727,-0.2176049232300263,-0.2126352305130426
235,0.1203803471966358,0.5144849195090222,-0.2063546254997297,-0.2099373516349251
240,0.09219617920794236,0.5144296004291304,-0.2063209941620633,-0.2122892814404963
245,0.07061079885777402,0.5254981680677271,-0.218020199030821,-0.2156228718077359
250,0.0493074348773556,0.5147069995206022,-0.2081151844801319,-0.2085830772192184
255,0.02138286044741742,0.5146296788238433,-0.2072924803990683,-0.2100939396724532
260,3.275963951211193e-005,0.5254749579172149,-0.2173491406929019,-0.217432753533275
265,-0.02130363340109798,0.514675103483824,-0.2100057611542163,-0.2074065284057653
270,-0.04923847064723681,0.5146144410932569,-0.2084318531844787,-0.2081269784675955
275,-0.07055339243067438,0.5254807261045627,-0.2155444752351766,-0.218078798405242
280,-0.09213237054702433,0.5144663257502991,-0.2122104741172056,-0.206412770713074
285,-0.1203263539040074,0.5143881383495241,-0.2098321662647484,-0.2063402492515707
290,-0.1418090812485466,0.5254529061432458,-0.2125734899910757,-0.2175994356265803
295,-0.163846417065087,0.513949645916299,-0.2156862799370001,-0.2063572945681206
300,-0.1925290048349647,0.5138147315668332,-0.2132588436936172,-0.2063035846500795
305,-0.2138463928174727,0.5260563361778101,-0.2090648067144727,-0.2180187276723883
310,-0.2327248331966224,0.5163436163314852,-0.215198179854055,-0.2080843663355434
315,-0.258461280043143,0.5149937134824212,-0.2144128280357718,-0.2073012874369702
320,-0.2780518002760323,0.5243873018254114,-0.2078903270240641,-0.217358406235995
325,-0.2905749624072088,0.5172003399026071,-0.2144169051224153,-0.2100285329807986
330,-0.3092440838885667,0.5154322968753644,-0.2152235893817335,-0.2084520483289196
335,-0.3244001034329463,0.5216191487280344,-0.209094645136343,-0.2155500051730514
340,-0.3277783910306367,0.5163009246800725,-0.213329195375701,-0.2122058316506039
345,-0.3352258263142977,0.5149778366510271,-0.2157220184598434,-0.209839160621323
350,-0.3426938302843627,0.5190367086513965,-0.2126327124687023,-0.2125784050322034
355,-0.3352316889032923,0.5149860334915748,-0.209935198726827,-0.2156830458493826
